中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac5:60ed:183c::26a:18,US,Los Angeles,隧道,25 ms,88 Mbps,11366 kB/s
35.230.79.26,443,34.83.206.197,US,Seattle,隧道,22 ms,170 Mbps,21811 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,40 ms,760 Mbps,97280 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,366 Mbps,46899 kB/s
34.82.76.253,443,34.127.109.144,US,Seattle,隧道,22 ms,864 Mbps,110592 kB/s
198.46.188.190,443,2a09:bac1:76a0:118::c7:11,US,Buffalo,隧道,83 ms,95 Mbps,12185 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,69 ms,333 Mbps,42700 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,2 ms,196 Mbps,25088 kB/s
35.197.23.75,443,34.83.206.197,US,Seattle,隧道,43 ms,848 Mbps,108544 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,25 ms,60 Mbps,7768 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,5 ms,1496 Mbps,191488 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,15 ms,1720 Mbps,220160 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,63 ms,21 Mbps,2758 kB/s
155.248.202.141,443,155.248.202.141,US,San Jose,中转,7 ms,76 Mbps,9730 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,27 ms,691 Mbps,88473 kB/s
204.110.220.3,443,204.110.220.19,US,,隧道,23 ms,606 Mbps,77619 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,17 ms,1352 Mbps,173056 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,7 ms,712 Mbps,91238 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,28 ms,463 Mbps,59289 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,9 ms,1992 Mbps,254976 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,181 ms,71 Mbps,9140 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,74 ms,258 Mbps,33075 kB/s
165.1.65.75,443,165.1.65.75,US,San Jose,中转,61 ms,404 Mbps,51814 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,158 ms,105 Mbps,13516 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,42 ms,524 Mbps,67072 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,71 ms,292 Mbps,37376 kB/s
141.144.203.231,443,2606:f240:f00:eaf1:0:5e57:a7b3:6603,US,Frankfurt,隧道,156 ms,73 Mbps,9449 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,212 ms,111 Mbps,14233 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,163 ms,28 Mbps,3702 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,133 ms,127 Mbps,16281 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,204 ms,82 Mbps,10547 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,173 ms,68 Mbps,8704 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,150 ms,41 Mbps,5335 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,170 ms,64 Mbps,8229 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,107 Mbps,13721 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,169 Mbps,21708 kB/s
146.56.161.229,443,146.56.161.229,KR,Tokyo,中转,130 ms,124 Mbps,15974 kB/s
152.69.234.162,443,2602:ffe4:407:21d9:0:4701:9f48:9584,SG,Singapore,隧道,188 ms,79 Mbps,10137 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,159 ms,112 Mbps,14438 kB/s
140.238.13.96,443,140.238.13.96,KR,Seoul,中转,237 ms,124 Mbps,15872 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,157 ms,46 Mbps,5953 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,155 ms,47 Mbps,6132 kB/s
8.211.47.200,443,2a0b:21c0:1007:1c7:0:84aa:485e:7b34,DE,Frankfurt,隧道,158 ms,115 Mbps,14745 kB/s
