中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,343 Mbps,43929 kB/s
34.82.76.253,443,34.127.109.144,US,Seattle,隧道,52 ms,808 Mbps,103424 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,15 ms,709 Mbps,90828 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,,Los Angeles,隧道,0 ms,62 Mbps,8036 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,13 ms,1080 Mbps,138240 kB/s
35.197.23.75,443,34.83.174.15,US,Seattle,隧道,21 ms,856 Mbps,109568 kB/s
192.9.138.241,443,192.9.138.241,1672 Mbps,214016 kB/s
192.9.138.241,,,隧道,0 ms,null Mbps,null kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,29 ms,740 Mbps,94720 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,76 ms,1680 Mbps,215040 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,81 ms,1408 Mbps,180224 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,29 ms,692 Mbps,88576 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,113 ms,192 Mbps,24678 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,125 ms,616 Mbps,78848 kB/s
35.230.79.26,443,34.83.174.15,US,Seattle,隧道,29 ms,840 Mbps,107520 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,18 ms,55 Mbps,7085 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,91 ms,1624 Mbps,207872 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,378 Mbps,48435 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,63 ms,355 Mbps,45465 kB/s
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,158 ms,40 Mbps,5122 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,71 ms,21 Mbps,2711 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,190 ms,112 Mbps,14438 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,74 ms,325 Mbps,41676 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,150 ms,40 Mbps,5134 kB/s
