中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,25 ms,63 Mbps,8103 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,13 ms,7 Mbps,958 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,7 ms,65 Mbps,8406 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,90 ms,264 Mbps,33792 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,73 ms,47 Mbps,6055 kB/s
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,US,Los Angeles,隧道,85 ms,140 Mbps,17920 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,70 ms,166 Mbps,21299 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,96 ms,237 Mbps,30412 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,103 ms,285 Mbps,36556 kB/s
143.47.242.195,443,143.47.242.195,GB,London,中转,82 ms,45 Mbps,5887 kB/s
130.162.32.88,443,98.98.166.182,AE,Frankfurt,隧道,94 ms,133 Mbps,17100 kB/s
152.67.231.219,443,152.67.231.219,US,San Jose,中转,81 ms,47 Mbps,6030 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,126 ms,28 Mbps,3584 kB/s
152.70.172.222,443,2606:f240:f00:6acf:0:56ea:d05f:b67d,US,Frankfurt,隧道,93 ms,204 Mbps,26112 kB/s
141.147.44.0,443,2a0b:21c0:1007:1cb:0:e4f0:8c09:81e3,DE,Frankfurt,隧道,106 ms,136 Mbps,17510 kB/s
193.123.56.105,443,2a0b:21c0:1007:c8:0:a1a6:81cd:d421,DE,Frankfurt,隧道,95 ms,132 Mbps,16896 kB/s
143.47.177.51,443,98.98.156.34,AE,Frankfurt,隧道,85 ms,128 Mbps,16384 kB/s
144.21.37.247,443,2a0b:21c0:1007:c9:0:1473:93d9:c5c1,DE,Frankfurt,隧道,89 ms,133 Mbps,17100 kB/s
158.101.178.241,443,2a0b:21c0:1007:1c8:0:27ae:9699:e2fe,DE,Frankfurt,隧道,98 ms,130 Mbps,16691 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,74 ms,124 Mbps,15974 kB/s
