中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,72 ms,303 Mbps,38809 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,71 ms,308 Mbps,39526 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,24 ms,737 Mbps,94412 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,12 ms,381 Mbps,48844 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,89 ms,212 Mbps,27136 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,89 ms,206 Mbps,26419 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,68 ms,296 Mbps,37888 kB/s
35.197.23.75,443,34.19.126.64,US,Seattle,隧道,68 ms,344 Mbps,44134 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,67 ms,48 Mbps,6167 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,68 ms,321 Mbps,41164 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,91 ms,134 Mbps,17203 kB/s
35.230.79.26,443,34.19.126.64,US,Seattle,隧道,68 ms,339 Mbps,43417 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,94 ms,222 Mbps,28467 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,32 ms,615 Mbps,78745 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,57 ms,7 Mbps,970 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,105 ms,34 Mbps,4401 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,76 ms,263 Mbps,33689 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,21 ms,360 Mbps,46182 kB/s
47.253.56.77,443,47.253.56.77,US,Ashburn,中转,33 ms,392 Mbps,50176 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,92 ms,216 Mbps,27648 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,79 ms,282 Mbps,36147 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,80 ms,144 Mbps,18534 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,64 ms,328 Mbps,41984 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,46 ms,525 Mbps,67276 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,64 ms,301 Mbps,38604 kB/s
130.61.13.10,443,2a0b:21c0:1007:ca:0:bef1:34ad:a11f,DE,Frankfurt,隧道,91 ms,152 Mbps,19456 kB/s
132.226.193.65,443,2a0b:21c0:1007:cb:0:f772:6203:bb43,DE,Frankfurt,隧道,93 ms,167 Mbps,21401 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,106 ms,248 Mbps,31744 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26a:8d,US,Los Angeles,隧道,68 ms,72 Mbps,9248 kB/s
141.148.226.117,443,98.98.156.34,AE,Frankfurt,隧道,93 ms,119 Mbps,15257 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,92 ms,219 Mbps,28057 kB/s
129.153.213.8,443,129.153.213.8,US,Los Angeles,中转,67 ms,47 Mbps,6085 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,88 ms,45 Mbps,5770 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,301 Mbps,38604 kB/s
130.162.161.197,443,2a0b:21c0:100a:1b7:0:7330:d2a:748f,DE,Frankfurt,隧道,100 ms,109 Mbps,14028 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,91 ms,47 Mbps,6073 kB/s
132.145.9.34,443,2a0b:21c0:100a:1b6:0:baa4:7994:73fb,DE,Frankfurt,隧道,96 ms,104 Mbps,13312 kB/s
158.101.205.6,443,2606:f240:f00:2be4:0:4fda:6396:2361,US,Frankfurt,隧道,117 ms,216 Mbps,27648 kB/s
192.9.132.79,443,192.9.132.79,US,San Jose,中转,79 ms,273 Mbps,35020 kB/s
141.147.101.241,443,2a0b:21c0:100a:1fa:0:29c8:a438:8312,DE,Frankfurt,隧道,93 ms,119 Mbps,15257 kB/s
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,229 ms,62 Mbps,8043 kB/s
143.47.180.157,443,2a0b:21c0:100a:1fa:0:2393:468e:1565,DE,Frankfurt,隧道,98 ms,125 Mbps,16076 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,171 ms,112 Mbps,14336 kB/s
152.70.54.167,443,98.98.156.22,AE,Frankfurt,隧道,93 ms,116 Mbps,14848 kB/s
138.2.169.84,443,2a0b:21c0:100a:1b7:0:2804:fb94:535,DE,Frankfurt,隧道,98 ms,120 Mbps,15360 kB/s
144.21.59.104,443,2a0b:21c0:100a:1fa:0:dbb:2913:3587,DE,Frankfurt,隧道,261 ms,117 Mbps,15052 kB/s
143.47.178.54,443,2a0b:21c0:100a:1b5:0:a250:b77d:6d71,DE,Frankfurt,隧道,99 ms,108 Mbps,13824 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,225 ms,66 Mbps,8530 kB/s
8.220.202.59,443,8.220.202.59,KR,Seoul,中转,181 ms,15 Mbps,2013 kB/s
193.123.59.251,443,2a0b:21c0:1007:c9:0:f4a0:89d4:5cb3,DE,Frankfurt,隧道,98 ms,171 Mbps,21913 kB/s
8.219.60.54,443,8.219.60.54,SG,Singapore,中转,225 ms,66 Mbps,8508 kB/s
132.226.213.145,443,2606:f240:f00:5a42:0:43c3:e23e:cfbe,US,Frankfurt,隧道,153 ms,224 Mbps,28774 kB/s
130.162.247.124,443,2606:f240:f00:83a7:0:32a6:d7ff:9c33,US,Frankfurt,隧道,91 ms,218 Mbps,27955 kB/s
8.219.66.156,443,8.219.66.156,SG,Tokyo,中转,223 ms,60 Mbps,7789 kB/s
138.2.61.180,443,104.28.206.113,JP,Osaka,隧道,387 ms,51 Mbps,6571 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,202 ms,87 Mbps,11161 kB/s
168.138.201.0,443,168.138.201.0,JP,Tokyo,中转,217 ms,32 Mbps,4205 kB/s
138.2.18.228,443,2602:ffe4:407:20d9:0:89dc:f46a:382e,SG,Singapore,隧道,237 ms,50 Mbps,6499 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,89 ms,41 Mbps,5341 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,227 ms,66 Mbps,8528 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,225 ms,2 Mbps,325 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,223 ms,67 Mbps,8626 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,220 ms,20 Mbps,2570 kB/s
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,225 ms,66 Mbps,8527 kB/s
158.101.85.32,443,128.14.110.204,US,Singapore,隧道,230 ms,65 Mbps,8438 kB/s
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,93 ms,136 Mbps,17408 kB/s
34.148.187.247,443,34.148.187.247,US,,中转,22 ms,770 Mbps,98611 kB/s
131.186.28.236,443,131.186.28.236,KR,Tokyo,中转,241 ms,35 Mbps,4520 kB/s
144.24.167.56,443,2a0b:21c0:1007:c8:0:23c7:4c53:bf82,DE,Frankfurt,隧道,91 ms,153 Mbps,19660 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,188 ms,61 Mbps,7812 kB/s
3.127.55.133,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,90 ms,205 Mbps,26316 kB/s
103.137.63.3,443,61.224.65.153,TW,,隧道,202 ms,72 Mbps,9307 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,64 ms,1 Mbps,185 kB/s
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,152 ms,160 Mbps,20582 kB/s
204.110.220.3,443,204.110.220.19,US,,隧道,84 ms,209 Mbps,26828 kB/s
18.236.13.188,443,204.110.220.101,US,,隧道,89 ms,196 Mbps,25088 kB/s
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,92 ms,164 Mbps,21094 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,83 ms,231 Mbps,29593 kB/s
129.159.241.172,443,129.159.241.172,DE,,中转,91 ms,69 Mbps,8923 kB/s
54.203.85.46,443,204.110.220.150,US,,隧道,96 ms,251 Mbps,32153 kB/s
141.147.86.166,443,2606:f240:f00:6f50:0:da60:f37e:975e,US,Zurich,隧道,152 ms,244 Mbps,31232 kB/s
3.138.59.154,443,3.13.180.72,US,,隧道,27 ms,459 Mbps,58777 kB/s
44.230.218.23,443,54.212.217.183,US,,隧道,83 ms,7 Mbps,955 kB/s
18.130.168.34,443,18.130.168.34,GB,,中转,137 ms,274 Mbps,35123 kB/s
35.157.240.237,443,3.68.128.205,DE,,隧道,92 ms,184 Mbps,23654 kB/s
130.162.210.11,443,2a0b:21c0:1007:ca:0:29a8:71ca:b9b6,DE,Frankfurt,隧道,106 ms,214 Mbps,27443 kB/s
3.68.62.122,443,3.68.128.205,DE,,隧道,94 ms,180 Mbps,23142 kB/s
124.156.202.172,443,124.156.202.172,SG,,中转,225 ms,67 Mbps,8680 kB/s
18.192.93.64,443,3.68.128.205,DE,,隧道,91 ms,224 Mbps,28774 kB/s
3.67.232.136,443,3.68.128.205,DE,,隧道,102 ms,218 Mbps,27955 kB/s
