中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,53 ms,408 Mbps,52326 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,68 ms,2016 Mbps,258048 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,343 Mbps,43929 kB/s
107.172.98.6,443,107.172.98.6,US,San Jose,中转,23 ms,698 Mbps,89395 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,14 ms,737 Mbps,94412 kB/s
34.82.76.253,443,34.127.109.144,US,Seattle,隧道,29 ms,816 Mbps,104448 kB/s
192.18.140.32,443,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,30 ms,1744 Mbps,223232 kB/s
35.230.79.26,443,34.19.126.64,US,Seattle,隧道,41 ms,848 Mbps,108544 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,67 Mbps,8622 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,17 ms,1920 Mbps,245760 kB/s
35.197.23.75,443,34.19.126.64,US,Seattle,隧道,31 ms,872 Mbps,111616 kB/s
170.106.35.96,443,170.106.35.96,US,Ashburn,中转,67 ms,19 Mbps,2463 kB/s
150.230.47.17,443,150.230.47.17,US,San Jose,中转,27 ms,1464 Mbps,187392 kB/s
152.67.233.64,443,2603:c024:c004:dd3f:333e:3245:d0f3:9f67,US,San Jose,隧道,64 ms,1024 Mbps,131072 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,14 ms,1312 Mbps,167936 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,9 ms,1496 Mbps,191488 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,632 Mbps,80998 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,31 ms,704 Mbps,90112 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,24 ms,90 Mbps,11571 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,51 ms,530 Mbps,67891 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,60 ms,336 Mbps,43110 kB/s
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,173 ms,59 Mbps,7624 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,152 ms,104 Mbps,13312 kB/s
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,69 ms,257 Mbps,32972 kB/s
34.154.110.117,443,98.98.166.182,AE,Frankfurt,隧道,163 ms,81 Mbps,10444 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,95 ms,7 Mbps,973 kB/s
144.24.187.125,443,2a0b:21c0:1007:c7:0:ae2c:9e58:b275,DE,Frankfurt,隧道,265 ms,76 Mbps,9729 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,209 Mbps,26828 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,148 ms,47 Mbps,6060 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,63 ms,352 Mbps,45158 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,55 ms,1 Mbps,183 kB/s
8.219.240.160,443,8.219.240.160,SG,Singapore,中转,171 ms,30 Mbps,3865 kB/s
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,73 ms,117 Mbps,15052 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,112 Mbps,14336 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,178 ms,117 Mbps,15052 kB/s
8.222.193.65,443,8.222.193.65,SG,Singapore,中转,169 ms,92 Mbps,11776 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,154 ms,104 Mbps,13312 kB/s
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,164 ms,3 Mbps,450 kB/s
8.219.201.245,443,8.219.201.245,,colo.txt:Singapore,中转,0 ms,81 Mbps,10444 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,191 ms,108 Mbps,13926 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,153 ms,40 Mbps,5176 kB/s
193.123.60.41,443,2a0b:21c0:1007:c7:0:867c:9fec:154b,DE,Frankfurt,隧道,152 ms,112 Mbps,14336 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,154 ms,102 Mbps,13107 kB/s
152.67.149.55,443,98.98.166.194,AE,Frankfurt,隧道,155 ms,77 Mbps,9982 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,159 ms,98 Mbps,12595 kB/s
8.219.84.214,443,8.219.84.214,SG,Singapore,中转,168 ms,65 Mbps,8356 kB/s
64.110.103.69,443,64.110.103.69,JP,Osaka,中转,212 ms,37 Mbps,4835 kB/s
141.147.68.17,443,2a0b:21c0:1007:cb:0:590b:127a:61c1,DE,Frankfurt,隧道,157 ms,69 Mbps,8919 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,174 ms,2 Mbps,359 kB/s
152.70.248.96,443,2a09:bac1:3f20:90::299:3b,KR,Seoul,隧道,130 ms,7 Mbps,1008 kB/s
8.219.114.201,443,8.219.114.201,SG,Singapore,中转,340 ms,99 Mbps,12697 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,7 Mbps,934 kB/s
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,184 ms,74 Mbps,9552 kB/s
132.226.130.40,443,2a0b:21c0:100a:1b0:0:ff12:2cee:1a20,DE,Frankfurt,隧道,154 ms,92 Mbps,11776 kB/s
204.110.220.3,443,204.110.220.19,US,,隧道,23 ms,567 Mbps,72601 kB/s
8.219.248.47,443,8.219.248.47,SG,Singapore,中转,168 ms,92 Mbps,11776 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,169 ms,88 Mbps,11264 kB/s
138.2.169.84,443,2a0b:21c0:100a:1b7:0:2804:fb94:535,DE,Frankfurt,隧道,165 ms,80 Mbps,10240 kB/s
44.224.24.91,443,44.224.24.91,US,,中转,21 ms,446 Mbps,57139 kB/s
144.22.252.124,443,144.22.252.124,BR,S
