中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
35.202.158.120,443,35.202.158.120,US,Chicago,中转,13 ms,1040 Mbps,133120 kB/s,133120.0
35.183.163.195,443,52.60.49.42,CA,,隧道,47 ms,781 Mbps,100044 kB/s,100044.0
3.138.59.154,443,3.13.180.72,US,,隧道,58 ms,752 Mbps,96256 kB/s,96256.0
18.191.122.211,443,3.13.180.72,US,,隧道,69 ms,744 Mbps,95232 kB/s,95232.0
34.69.150.180,443,34.69.150.180,US,,中转,26 ms,735 Mbps,94105 kB/s,94105.0
3.144.191.4,443,3.144.191.4,US,Chicago,中转,47 ms,725 Mbps,92876 kB/s,92876.0
34.148.187.247,443,34.148.187.247,US,,中转,28 ms,701 Mbps,89804 kB/s,89804.0
198.46.193.167,443,198.46.193.167,US,Dallas,中转,115 ms,659 Mbps,84377 kB/s,84377.0
34.70.91.86,443,34.70.91.86,US,,中转,15 ms,584 Mbps,74752 kB/s,74752.0
35.230.79.26,443,34.82.144.89,US,Seattle,隧道,72 ms,454 Mbps,58163 kB/s,58163.0
35.197.23.75,443,34.82.144.89,US,Seattle,隧道,57 ms,454 Mbps,58163 kB/s,58163.0
34.82.76.253,443,34.168.34.122,US,Seattle,隧道,57 ms,452 Mbps,57856 kB/s,57856.0
107.172.98.6,443,107.172.98.6,US,San Jose,中转,72 ms,448 Mbps,57446 kB/s,57446.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,53 ms,448 Mbps,57344 kB/s,57344.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,178 ms,434 Mbps,55603 kB/s,55603.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,68 ms,428 Mbps,54784 kB/s,54784.0
150.230.47.17,443,150.230.47.17,US,San Jose,中转,51 ms,406 Mbps,52019 kB/s,52019.0
18.216.55.100,443,18.216.55.100,US,Chicago,中转,10 ms,406 Mbps,52019 kB/s,52019.0
192.9.138.241,443,192.9.138.241,US,San Jose,中转,53 ms,401 Mbps,51404 kB/s,51404.0
192.9.132.79,443,192.9.132.79,US,San Jose,中转,53 ms,392 Mbps,50278 kB/s,50278.0
198.23.236.101,443,198.23.236.101,US,San Jose,中转,76 ms,385 Mbps,49356 kB/s,49356.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,53 ms,371 Mbps,47513 kB/s,47513.0
44.224.24.91,443,44.224.24.91,US,,中转,64 ms,358 Mbps,45875 kB/s,45875.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,49 ms,355 Mbps,45465 kB/s,45465.0
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,70 ms,349 Mbps,44748 kB/s,44748.0
193.122.197.111,443,193.122.197.111,US,Ashburn,中转,105 ms,345 Mbps,44236 kB/s,44236.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,332 Mbps,42496 kB/s,42496.0
18.236.13.188,443,204.110.220.101,US,,隧道,172 ms,319 Mbps,40857 kB/s,40857.0
129.80.116.250,443,2603:c020:4008:16ca:19e9:40f5:b8a0:c008,US,Ashburn,隧道,30 ms,311 Mbps,39833 kB/s,39833.0
204.110.220.3,443,204.110.220.19,US,,隧道,61 ms,302 Mbps,38707 kB/s,38707.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,296 Mbps,37990 kB/s,37990.0
54.203.85.46,443,204.110.220.17,US,,隧道,150 ms,294 Mbps,37683 kB/s,37683.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,67 ms,268 Mbps,34304 kB/s,34304.0
141.147.74.20,443,141.147.74.20,GB,London,中转,94 ms,221 Mbps,28364 kB/s,28364.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,102 ms,208 Mbps,26726 kB/s,26726.0
3.66.115.225,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,111 ms,207 Mbps,26521 kB/s,26521.0
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,129 ms,202 Mbps,25907 kB/s,25907.0
18.192.93.64,443,3.68.128.205,DE,,隧道,108 ms,197 Mbps,25292 kB/s,25292.0
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,106 ms,197 Mbps,25292 kB/s,25292.0
18.156.209.101,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,108 ms,192 Mbps,24576 kB/s,24576.0
18.130.168.34,443,18.130.168.34,GB,,中转,163 ms,191 Mbps,24473 kB/s,24473.0
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,206 ms,189 Mbps,24268 kB/s,24268.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,187 Mbps,23961 kB/s,23961.0
8.209.109.122,443,163.123.193.5,DE,Frankfurt,隧道,118 ms,185 Mbps,23756 kB/s,23756.0
3.68.62.122,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,142 ms,185 Mbps,23756 kB/s,23756.0
3.127.55.133,443,3.68.128.205,DE,,隧道,110 ms,184 Mbps,23552 kB/s,23552.0
47.91.88.167,443,2a0b:21c0:1007:cb:0:1282:eff:3d01,DE,Frankfurt,隧道,109 ms,182 Mbps,23347 kB/s,23347.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,118 ms,180 Mbps,23040 kB/s,23040.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,176 Mbps,22528 kB/s,22528.0
141.147.90.139,443,2606:f240:f00:b2ed:0:d2f:d011:af47,US,Frankfurt,隧道,269 ms,174 Mbps,22323 kB/s,22323.0
18.185.254.189,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,110 ms,173 Mbps,22220 kB/s,22220.0
18.159.105.97,443,3.68.128.205,DE,,隧道,179 ms,172 Mbps,22118 kB/s,22118.0
129.151.205.193,443,129.151.205.193,SE,Stockholm,中转,110 ms,170 Mbps,21811 kB/s,21811.0
35.157.240.237,443,2a05:d014:ed:9600:f52b:ab01:6bb:bc9d,DE,,隧道,133 ms,169 Mbps,21708 kB/s,21708.0
47.254.128.16,443,2606:f240:f00:dd8d:0:dee:ac41:b7b7,US,Frankfurt,隧道,158 ms,168 Mbps,21606 kB/s,21606.0
3.67.232.136,443,3.68.128.205,DE,,隧道,109 ms,165 Mbps,21196 kB/s,21196.0
141.145.199.188,443,2603:c027:c002:9a00:b670:5cb3:e47d:8c20,FR,,隧道,99 ms,159 Mbps,20377 kB/s,20377.0
47.254.129.125,443,2606:f240:f00:6acf:0:f97f:f317:1752,US,Frankfurt,隧道,107 ms,156 Mbps,19968 kB/s,19968.0
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,158 ms,155 Mbps,19865 kB/s,19865.0
152.67.249.123,443,152.67.249.123,US,San Jose,中转,55 ms,137 Mbps,17612 kB/s,17612.0
8.209.76.134,443,163.123.193.6,DE,Frankfurt,隧道,115 ms,128 Mbps,16486 kB/s,16486.0
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,54 ms,126 Mbps,16179 kB/s,16179.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,144 ms,120 Mbps,15360 kB/s,15360.0
130.61.239.203,443,130.61.239.203,DE,Frankfurt,中转,174 ms,100 Mbps,12902 kB/s,12902.0
150.230.249.48,443,150.230.249.48,KR,Seoul,中转,170 ms,98 Mbps,12595 kB/s,12595.0
198.46.188.190,443,2a09:bac5:a5fe:7cd::c7:12,US,Buffalo,隧道,26 ms,90 Mbps,11571 kB/s,11571.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,189 ms,88 Mbps,11264 kB/s,11264.0
8.219.237.250,443,8.219.237.250,SG,Singapore,中转,296 ms,87 Mbps,11161 kB/s,11161.0
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,181 ms,86 Mbps,11059 kB/s,11059.0
129.154.50.159,443,129.154.50.159,KR,Seoul,中转,174 ms,83 Mbps,10649 kB/s,10649.0
168.138.66.11,443,168.138.66.11,CA,Toronto,中转,29 ms,80 Mbps,10240 kB/s,10240.0
124.156.202.172,443,124.156.202.172,SG,,中转,207 ms,80 Mbps,10240 kB/s,10240.0
8.219.248.47,443,8.219.248.47,SG,Singapore,中转,207 ms,79 Mbps,10137 kB/s,10137.0
8.219.111.175,443,8.219.111.175,SG,Singapore,中转,279 ms,77 Mbps,9959 kB/s,9959.0
131.186.62.248,443,131.186.62.248,JP,Tokyo,中转,314 ms,77 Mbps,9919 kB/s,9919.0
8.222.164.209,443,8.222.164.209,SG,Singapore,中转,211 ms,77 Mbps,9911 kB/s,9911.0
192.9.250.241,443,192.9.250.241,US,,中转,52 ms,77 Mbps,9870 kB/s,9870.0
47.236.130.95,443,47.236.130.95,SG,Singapore,中转,212 ms,76 Mbps,9828 kB/s,9828.0
8.219.198.34,443,8.219.198.34,SG,Singapore,中转,212 ms,76 Mbps,9814 kB/s,9814.0
8.219.200.145,443,8.219.200.145,SG,Singapore,中转,215 ms,76 Mbps,9783 kB/s,9783.0
8.219.42.72,443,8.219.42.72,SG,Singapore,中转,272 ms,76 Mbps,9737 kB/s,9737.0
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,265 ms,75 Mbps,9721 kB/s,9721.0
8.219.124.227,443,8.219.124.227,SG,Singapore,中转,298 ms,75 Mbps,9706 kB/s,9706.0
144.24.243.207,443,144.24.243.207,CH,,中转,179 ms,75 Mbps,9705 kB/s,9705.0
193.123.93.103,443,193.123.93.103,AE,Paris,中转,315 ms,74 Mbps,9544 kB/s,9544.0
8.222.204.128,443,8.222.204.128,SG,Singapore,中转,211 ms,74 Mbps,9473 kB/s,9473.0
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,212 ms,73 Mbps,9447 kB/s,9447.0
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,211 ms,73 Mbps,9418 kB/s,9418.0
8.219.198.139,443,8.219.198.139,SG,Singapore,中转,283 ms,73 Mbps,9394 kB/s,9394.0
8.222.208.38,443,8.222.208.38,SG,Singapore,中转,208 ms,72 Mbps,9342 kB/s,9342.0
8.222.181.117,443,8.222.181.117,SG,Singapore,中转,317 ms,72 Mbps,9332 kB/s,9332.0
8.219.67.133,443,8.219.67.133,SG,Singapore,中转,332 ms,72 Mbps,9330 kB/s,9330.0
8.219.222.98,443,8.219.222.98,SG,Singapore,中转,214 ms,72 Mbps,9312 kB/s,9312.0
8.219.201.245,443,8.219.201.245,SG,Singapore,中转,214 ms,72 Mbps,9302 kB/s,9302.0
8.219.210.64,443,8.219.210.64,SG,Singapore,中转,211 ms,72 Mbps,9289 kB/s,9289.0
138.3.210.24,443,2603:c021:800d:a344:0:1::,JP,Tokyo,隧道,284 ms,72 Mbps,9251 kB/s,9251.0
